Tweet,Sentiment
@godishyuna @Molly71006101 @exquis17 @MzCreole_Doll @CARTERHEIR uh- bye? lol,neutral
@TheJudge44 lol mate https://t.co/PQAngkjuy7,neutral
@chrisesflaco Idk it just does lol,neutral
@georgiemaydale Lol why not ,negative
@jean_mlondiwa Lol trust her she was looking them up during the whole class period,negative
gonna study for my finals tomorrow LOL chengcheng's baby photo for goodluck  https://t.co/qASuImkpV2,neutral
"@RoyalFamily I was crap at history, lol #ooppps",negative
Lol u mean to tell me I could have watched joker this whole gd time on prime,negative
@MeMountney Thank goodness for small mercies lol https://t.co/WbNuHiQvz3,positive
@JohnnyLockson Me but its the other way around lol,neutral
"@BleuSkiddew Exactly my thoughts. Plus, Im very much a single player girl, so it feels even more useless. I think https://t.co/Wh64v16LtL",negative
"@ChiChiGreenblat not gonna lie, i was giggling when i was tweeting this one.. 

because, if you knew me, it's so super accurate.. lol",negative
"ive always worked with jot*s, doing retail ...but im going from a team of 25? to a team of 8 ..... y pues, im sur https://t.co/UdsDh8qZt2",negative
"@WadeDerby Team owners, most of them being white don't care about where you take the paltry sum (out of the revenue https://t.co/6XtxnX5Ey5",negative
No lol https://t.co/xf7apWPeKg,negative
"@liveshowsdnp I'm saying ""lol"" irl too often ",negative
@TraceDollFace_ Lmao idk I never really paid attention to it I guess. The funny ones be the loud ones thatll end w https://t.co/cfh994aXvB,negative
I dont care if im being mean at least ill be real with you all these facefuckin dickheads with their thumbs in thei https://t.co/atrX7QXFp1,negative
@iTIGERSHROFF @AyeshaShroff @ishagoraksha @TeamTIGERSHROFF thanks for being my motivator @iTIGERSHROFF if it wasn't https://t.co/jjbLSvGkmn,neutral
LOL @mousou_lover I played a dungeon party with Kyary XD (I know that's not really her but the name is great) ALSO https://t.co/vMIzuFw8Ux,negative
Damn right right @ZackTaylorFA? Lol https://t.co/onNTqKstXo,neutral
So many crazy situations i was in lol,negative
@Yinyama2 Wow didn't even notice the polls were open lol,negative
"but one thing tho , i hope he allows me to just slap the shit outta one of them bitches . please let me do it lol ...",negative
"@Scumbag_Greg Thats wild my friend just convinced me to downlod pubg tonight lol shoot me your info!

Dude I can't https://t.co/QBIsOYOS22",negative
@juliandrewss I wanna cry for him lol,negative
"@Lulu33_ZS @tascaramel2 LolGod I pray Iyke is real and my acting because all this things am seeing on my TL abt iyke,God shame the haters",negative
@HenneseyDreamzz I thought you quoting J Cole - Wet dreamz lol,negative
"@ImpatienTourist LOL

I said big TEETH.",neutral
@Ernesto2Times @JayTalkToEm @Whereisblockaye @RoyaltyQuise @youngbadchoices lol that winning team is really good!,positive
