Tweet,Sentiment
@Hollyforest @realDonaldTrump @CNN lol do you really think he's going to see your comment.,neutral
@kvd52 @tjimenez23 Haha facts thats a squad right there lol,neutral
@IanBlessings Lol I bet your highkey bump to them,positive
@CDashchi Lol right ? and they flippin held his hand too and they said it was soft ,negative
@rivervitae LOL ROSIE IS THE ALPHA,positive
@5_9hazeleyez I dont know because meg supposed to be doing broccoli fest that same day  I am confusion lol,negative
@CCapitine @realpcycho Ohhhhh lol lol thank you,positive
@jjimmyp @MLB @TheCUTCH22 @Mariners @Giancarlo818 @Yankees @Phillies @Mets @Cubs @STLWizard @mroctober @whitesox https://t.co/V9fKLp0vwh,neutral
Future goaty for that Life Is Good remix lol,positive
@SoMagNIKKficent Naw she slowly snuck back in lol,neutral
Lol foreals https://t.co/jvej4zMGLC,neutral
@Co_Chisejr lol i am soo serious! im tired of this place,negative
Lol bey they really call the man boss... What yall thought was ga happen? He get cancel? Y'all know cancel culture don't exist here right?,negative
@MoonabellePlays @InfernoUltra Twitter hates his profile lol,neutral
@angelias201 @MtRushmore2016 @JerilynneGraue @dawn_of_america @JackPosobiec Lol I love you cant win so you think i https://t.co/DQBSBB8kKh,positive
Enjoy the content lol,positive
@yetipasta It is almost always trash television lol,negative
"@hello_im_nik @TezFunz2 On god I have no idea, first time I win podium car, usually I get clothes, wanna know how to get them lol",negative
@lazydawg58 @JasonTCurtis @USAquarium Whats my argument? That yall are still high and mighty about a championship 35 years ago? Lol,negative
"@smokeybibear Lol you don't actually believe that nonsense do you, and they actually have transparency listed, not that really is a laugh.",negative
"Things that never fail to make me LOL:

When I'm trying to call someone ""bb"" and my phone changes it to ""bob""

Me: https://t.co/gPQcA7WO7c",negative
@fudgie8 I know. Wasn't meant to be too deep. Lol,negative
@Alc4Pete @dr_juicepouch @bernieorbust13 @PeteButtigieg I was summering your position but ok go on king lol,neutral
i mean it probably sounds exactly the same lol but whatever,negative
@realscientists One day this week went back in the house three times for things I forgot (luckily before drove away https://t.co/42W0AeDKtU,negative
Its definitely connected to how altean Lance is also always feminized but I still havent sorted out why thats th https://t.co/X1JL7woYW6,positive
Crazy how some ppl live their whole life to try and make others miserable lol wtf is wrong with yall? Ppl are like little terrorist ,negative
"I want your baby in my god 

Lol wow https://t.co/VtkM4Njc6J",positive
@Barzorx Defense goes without saying lol. But your character doesn't have offense so I didnt bother including it.,negative
lol my tweets sound mad depressing sometimes but shit Im living good still ,negative
"@exshia_123 @EbnHussein1424 @Muzaffer_Hyder And your statement is a validation of that..? ohh, by the way its not A https://t.co/DhBHKgHq2R",negative
@Vincy_Rob @DatDamnAsian @howi_ronic @crystarius @leilahkaelan @Biltmore_B @AndreaMariee95 @islandhunty https://t.co/LcqZxjyLKI,neutral
Nigga shutup lol https://t.co/1B8znmLVFU,neutral
@HellKatMTG Inverter is over rated lol not the brightest agent.,negative
