Tweet,Sentiment
Lol who am I kidding. COVID has us all on edge.,negative
@shemang_david Lol......on the way dear......A cake made with bread just for you sweetie,positive
@lexoah Im right here lol,neutral
"Says it all really lol

#bepackleader #abdt #openyoureyes #dogtraining #realdogtraining #balancedtraining https://t.co/WowAML7gUg",neutral
@learynextdoor @_prettySkinny Oh you still know who i am ... proceed lol,neutral
lol Bidens oh come on at 1:47 https://t.co/iAFIqGg8Gl,neutral
"@CoolHotSweetShu @Shuhualines the collab with sm, lol, Queendom are mostly not arranged by cube. those 3rd parties https://t.co/qwVoqloqHf",neutral
@MemeNewsNetwork MSU 10th!! Lol delete that account dude,negative
"@iandpm ""Exotic Clangs"". LOL. Hmmm... Getting kicked out of the venue by the doormen ten minutes after entering? (T https://t.co/iAypIDEgVL",negative
@plushymyeon Lol the caption,neutral
Im fuckin wild lol... whatever,negative
@_Lwazi__Jack @MozzeyFlaco Lol your girl prolly getting her ass ate wena ubusy not believing here,negative
"These past couple of days Ive thought bout starting to workout. I just havent done it, but i want to. Lol",negative
@ChrissyMetz hey girl! I know this is a long shot but anyway you can tell me where they got that red swimdress from season 4 episode 13 lol,negative
@DennisCricket_ @iamAhmadshahzad Lol. He deserves such kinda greetings ,positive
@MayaLovesAsim @realumarriaz Smoking some bad shit lol,negative
@Qweentitties_ Lol perv everywer,neutral
@tionnaann12 Lol must be nice,positive
@paperdragun lol I love you for this ,positive
Why tf do I get pink eye like every month lol,negative
